,appearance,have_wokred,no_experience,experience_not_specified,good_with_kids,good_with_elderly,muslim,not_muslim,religion_not_specified,marrid,not_marrid,status_not_specified,city_city_not_specified,city_ابها,city_الدمام,city_الرياض,city_الطائف,city_القصيم,city_المدينه,city_بيشه,city_تبوك,city_جدة,city_حائل,city_وادي الدواسر,age_range_25-30,age_range_25-35,age_range_25-37,age_range_25-38,age_range_25-40,age_range_30-35,age_range_30-38,age_range_30-40,age_range_35-40,age_range_35-45,age_range_age_not_specified,family_name_family_not_specified,family_name_البقمي,family_name_البلوي,family_name_البيشي,family_name_الحربي,family_name_الدوسري,family_name_الرشيدي,family_name_الرويلي,family_name_الزهراني,family_name_السبيعي,family_name_السلمي,family_name_الشمري,family_name_الشهراني,family_name_الشهري,family_name_العتيبي,family_name_العجمي,family_name_العصيمي,family_name_العمري,family_name_العميل,family_name_العنزي,family_name_الغامدي,family_name_الغبيشي,family_name_القحطاني,family_name_المطيري,average_age_27,average_age_30,average_age_31,average_age_32,average_age_34,average_age_35,average_age_37,average_age_40,average_age_age_not_specified,country
71,False,True,False,False,False,False,False,False,True,False,False,True,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Bangladesh
72,False,True,False,False,False,False,True,False,False,False,False,True,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Bangladesh
73,False,False,False,True,False,False,True,False,False,False,False,True,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Bangladesh
74,False,True,False,False,False,False,False,False,True,False,False,True,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Bangladesh
75,False,True,False,False,False,False,False,False,True,False,False,True,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Bangladesh
76,False,True,False,False,False,False,False,False,True,False,False,True,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Bangladesh
77,False,True,False,False,False,False,True,False,False,False,False,True,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Bangladesh
78,False,True,False,False,False,False,True,False,False,False,False,True,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Bangladesh
79,False,True,False,False,True,False,False,False,True,False,False,True,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Bangladesh
80,False,True,False,False,False,False,True,False,False,False,True,False,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Bangladesh
